EPCI;EPCI_EPT;EPCI_EPTinc;EPCIlibFull;EPCIlibFullNCC;EPCIlibShort;EPCIlibShortNCC;TYPE_EPCI;TYPE_EPCIlib;METRoff;DENSEPCI;DENSEPCIlib;REG_dom;DEP_dom;DEPshort_dom;regdep
246700843;246700843;0;Communauté de communes de la Basse-Zorn;COMMUNAUTE DE COMMUNES DE LA BASSE ZORN;CC de la Basse-Zorn;CC DE LA BASSE-ZORN;CC;Communauté de communes;0;2;Urbain intermédiaire;44;67;67-BRh;GES/67-BRh
246700926;246700926;0;Communauté de communes du Pays de Wissembourg;COMMUNAUTE DE COMMUNES DU PAYS DE WISSEMBOURG;CC du Pays de Wissembourg;CC DU PAYS DE WISSEMBOURG;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
246700959;246700959;0;Communauté de communes du Pays de la Zorn;COMMUNAUTE DE COMMUNES DU PAYS DE LA ZORN;CC du Pays de la Zorn;CC DU PAYS DE LA ZORN;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
246700967;246700967;0;Communauté de communes de Sélestat;COMMUNAUTE DE COMMUNES DE SELESTAT;CC de Sélestat;CC DE SELESTAT;CC;Communauté de communes;0;2;Urbain intermédiaire;44;67;67-BRh;GES/67-BRh
246701064;246701064;0;Communauté de communes de la Région de Molsheim-Mutzig;COMMUNAUTE DE COMMUNES DE LA REGION DE MOLSHEIM MUTZIG;CC de la Région de Molsheim-Mutzig;CC DE LA REGION DE MOLSHEIM-MUTZIG;CC;Communauté de communes;0;2;Urbain intermédiaire;44;67;67-BRh;GES/67-BRh
246701080;246701080;0;Communauté de communes du Pays de Sainte-Odile;COMMUNAUTE DE COMMUNES DU PAYS DE SAINTE ODILE;CC du Pays de Sainte-Odile;CC DU PAYS DE SAINTE-ODILE;CC;Communauté de communes;0;2;Urbain intermédiaire;44;67;67-BRh;GES/67-BRh
246701098;246701098;0;Communauté de communes du Pays de Niederbronn-les-Bains;COMMUNAUTE DE COMMUNES DU PAYS DE NIEDERBRONN LES BAINS;CC du Pays de Niederbronn-les-Bains;CC DU PAYS DE NIEDERBRONN-LES-BAINS;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
246800205;246800205;0;Communauté de communes de la Vallée de Saint-Amarin;COMMUNAUTE DE COMMUNES DE LA VALLEE DE SAINT AMARIN;CC de la Vallée de Saint-Amarin;CC DE LA VALLEE DE SAINT-AMARIN;CC;Communauté de communes;0;2;Urbain intermédiaire;44;68;68-HRh;GES/68-HRh
246800395;246800395;0;Communauté de communes du Val d'Argent;COMMUNAUTE DE COMMUNES DU VAL D ARGENT;CC du Val d'Argent;CC DU VAL D'ARGENT;CC;Communauté de communes;0;3;Rural;44;68;68-HRh;GES/68-HRh
246800445;246800445;0;Communauté de communes du Centre du Haut-Rhin;COMMUNAUTE DE COMMUNES DU CENTRE DU HAUT RHIN;CC du Centre du Haut-Rhin;CC DU CENTRE DU HAUT-RHIN;CC;Communauté de communes;0;3;Rural;44;68;68-HRh;GES/68-HRh
246800494;246800494;0;Communauté de communes du Pays de Rouffach, Vignobles et Châteaux;COMMUNAUTE DE COMMUNES DU PAYS DE ROUFFACH, VIGNOBLES ET CHATEAUX;CC du Pays de Rouffach, Vignobles et Châteaux;CC DU PAYS DE ROUFFACH, VIGNOBLES ET CHATEAUX;CC;Communauté de communes;0;3;Rural;44;68;68-HRh;GES/68-HRh
246800551;246800551;0;Communauté de communes de la Vallée de Kaysersberg;COMMUNAUTE DE COMMUNES DE LA VALLEE DE KAYSERSBERG;CC de la Vallée de Kaysersberg;CC DE LA VALLEE DE KAYSERSBERG;CC;Communauté de communes;0;3;Rural;44;68;68-HRh;GES/68-HRh
246800569;246800569;0;Communauté de communes de la Région de Guebwiller;COMMUNAUTE DE COMMUNES DE LA REGION DE GUEBWILLER;CC de la Région de Guebwiller;CC DE LA REGION DE GUEBWILLER;CC;Communauté de communes;0;2;Urbain intermédiaire;44;68;68-HRh;GES/68-HRh
246800577;246800577;0;Communauté de communes du Pays de Ribeauvillé;COMMUNAUTE DE COMMUNES DU PAYS DE RIBEAUVILLE;CC du Pays de Ribeauvillé;CC DU PAYS DE RIBEAUVILLE;CC;Communauté de communes;0;2;Urbain intermédiaire;44;68;68-HRh;GES/68-HRh
246800585;246800585;0;Communauté de communes de la Vallée de Munster;COMMUNAUTE DE COMMUNES DE LA VALLEE DE MUNSTER;CC de la Vallée de Munster;CC DE LA VALLEE DE MUNSTER;CC;Communauté de communes;0;3;Rural;44;68;68-HRh;GES/68-HRh
246800676;246800676;0;Communauté de communes de la Vallée de la Doller et du Soultzbach;COMMUNAUTE DE COMMUNES DE LA VALLEE DE LA DOLLER ET DU SOULTZBACH;CC de la Vallée de la Doller et du Soultzbach;CC DE LA VALLEE DE LA DOLLER ET DU SOULTZBACH;CC;Communauté de communes;0;3;Rural;44;68;68-HRh;GES/68-HRh
