EPCI;EPCI_EPT;EPCI_EPTinc;EPCIlibFull;EPCIlibFullNCC;EPCIlibShort;EPCIlibShortNCC;TYPE_EPCI;TYPE_EPCIlib;METRoff;DENSEPCI;DENSEPCIlib;REG_dom;DEP_dom;DEPshort_dom;regdep
200000172;200000172;0;Communauté de communes Faucigny-Glières;COMMUNAUTE DE COMMUNES FAUCIGNY GLIERES;CC Faucigny-Glières;CC FAUCIGNY-GLIERES;CC;Communauté de communes;0;2;Urbain intermédiaire;84;74;74-HSv;ARA/74-HSv
200000438;200000438;0;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU SAINT GILDAS DES BOIS;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;CC DU PAYS DE PONTCHATEAU SAINT-GILDAS-DES-BOIS;CC;Communauté de communes;0;3;Rural;52;44;44-LoA;PDL/44-LoA
200000545;200000545;0;Communauté de communes des Portes de Romilly-sur-Seine;COMMUNAUTE DE COMMUNES DES PORTES DE ROMILLY SUR SEINE;CC des Portes de Romilly-sur-Seine;CC DES PORTES DE ROMILLY-SUR-SEINE;CC;Communauté de communes;0;2;Urbain intermédiaire;44;10;10-Aub;GES/10-Aub
200000628;200000628;0;Communauté de communes Rhône Lez Provence;COMMUNAUTE DE COMMUNES RHONE LEZ PROVENCE;CC Rhône Lez Provence;CC RHONE LEZ PROVENCE;CC;Communauté de communes;0;3;Rural;93;84;84-Vau;PACA/84-Vau
200000800;200000800;0;Communauté de communes Cœur de Sologne;COMMUNAUTE DE COMMUNES CŒUR DE SOLOGNE;CC Cœur de Sologne;CC CŒUR DE SOLOGNE;CC;Communauté de communes;0;3;Rural;24;41;41-LeC;CVL/41-LeC
200000925;200000925;0;Communauté de communes de la Plaine Dijonnaise;COMMUNAUTE DE COMMUNES DE LA PLAINE DIJONNAISE;CC de la Plaine Dijonnaise;CC DE LA PLAINE DIJONNAISE;CC;Communauté de communes;0;3;Rural;27;21;21-CdO;BFC/21-CdO
200000933;200000933;0;Communauté de communes Sauldre et Sologne;COMMUNAUTE DE COMMUNES SAULDRE ET SOLOGNE;CC Sauldre et Sologne;CC SAULDRE ET SOLOGNE;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200004802;200004802;0;Communauté de communes du Pays de Fayence;COMMUNAUTE DE COMMUNES DU PAYS DE FAYENCE;CC du Pays de Fayence;CC DU PAYS DE FAYENCE;CC;Communauté de communes;0;3;Rural;93;83;83-Var;PACA/83-Var
200005932;200005932;0;Communauté de communes des Portes de Sologne;COMMUNAUTE DE COMMUNES DES PORTES DE SOLOGNE;CC des Portes de Sologne;CC DES PORTES DE SOLOGNE;CC;Communauté de communes;0;3;Rural;24;45;45-Lot;CVL/45-Lot
200005957;200005957;0;Communauté de communes de la Région de Rambervillers;COMMUNAUTE DE COMMUNES DE LA REGION DE RAMBERVILLERS;CC de la Région de Rambervillers;CC DE LA REGION DE RAMBERVILLERS;CC;Communauté de communes;0;3;Rural;44;88;88-Vos;GES/88-Vos
200006682;200006682;0;Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;COMMUNAUTE D AGGLOMERATION BEAUNE, COTE ET SUD COMMUNAUTE BEAUNE CHAGNY NOLAY;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;CA BEAUNE, COTE ET SUD - COMMUNAUTE BEAUNE-CHAGNY-NOLAY;CA;Communauté d'agglomération;0;3;Rural;27;21;21-CdO;BFC/21-CdO
200006716;200006716;0;Communauté de communes du Nogentais;COMMUNAUTE DE COMMUNES DU NOGENTAIS;CC du Nogentais;CC DU NOGENTAIS;CC;Communauté de communes;0;3;Rural;44;10;10-Aub;GES/10-Aub
200006930;200006930;0;Communauté de communes du Haut Allier Margeride;COMMUNAUTE DE COMMUNES DU HAUT ALLIER MARGERIDE;CC du Haut Allier Margeride;CC DU HAUT ALLIER MARGERIDE;CC;Communauté de communes;0;3;Rural;76;48;48-Loz;OCC/48-Loz
200006971;200006971;0;Communauté de communes du Perche;COMMUNAUTE DE COMMUNES DU PERCHE;CC du Perche;CC DU PERCHE;CC;Communauté de communes;0;3;Rural;24;28;28-EeL;CVL/28-EeL
200007052;200007052;0;Communauté de communes de la Marche Berrichonne;COMMUNAUTE DE COMMUNES DE LA MARCHE BERRICHONNE;CC de la Marche Berrichonne;CC DE LA MARCHE BERRICHONNE;CC;Communauté de communes;0;3;Rural;24;36;36-Ind;CVL/36-Ind
200007177;200007177;0;Communauté de communes Pays de Nérondes;COMMUNAUTE DE COMMUNES PAYS DE NERONDES;CC Pays de Nérondes;CC PAYS DE NERONDES;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200010650;200010650;0;Communauté d'agglomération du Grand Dole;COMMUNAUTE D AGGLOMERATION DU GRAND DOLE;CA du Grand Dole;CA DU GRAND DOLE;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;27;39;39-Jur;BFC/39-Jur
200010700;200010700;0;Communauté d'agglomération Caux Seine Agglo;COMMUNAUTE D AGGLOMERATION CAUX SEINE AGGLO;CA Caux Seine Agglo;CA CAUX SEINE AGGLO;CA;Communauté d'agglomération;0;3;Rural;28;76;76-SMa;NOR/76-SMa
200011773;200011773;0;Communauté d'agglomération Annemasse-Les Voirons-Agglomération;COMMUNAUTE D AGGLOMERATION ANNEMASSE LES VOIRONS AGGLOMERATION;CA Annemasse-Les Voirons-Agglomération;CA ANNEMASSE-LES VOIRONS-AGGLOMERATION;CA;Communauté d'agglomération;0;1;Urbain dense;84;74;74-HSv;ARA/74-HSv
200011781;200011781;0;Communauté de communes Portes du Berry entre Loire et Val d'Aubois;COMMUNAUTE DE COMMUNES PORTES DU BERRY ENTRE LOIRE ET VAL D AUBOIS;CC Portes du Berry entre Loire et Val d'Aubois;CC PORTES DU BERRY ENTRE LOIRE ET VAL D'AUBOIS;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200013050;200013050;0;Communauté de communes Sauer-Pechelbronn;COMMUNAUTE DE COMMUNES SAUER PECHELBRONN;CC Sauer-Pechelbronn;CC SAUER-PECHELBRONN;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
200015162;200015162;0;Communauté de communes de l'Oriente;COMMUNAUTE DE COMMUNES DE L ORIENTE;CC de l'Oriente;CC DE L'ORIENTE;CC;Communauté de communes;0;3;Rural;94;2B;2B-HCo;COR/2B-HCo
200016905;200016905;0;Communauté de communes du Pays de Lamastre;COMMUNAUTE DE COMMUNES DU PAYS DE LAMASTRE;CC du Pays de Lamastre;CC DU PAYS DE LAMASTRE;CC;Communauté de communes;0;3;Rural;84;07;07-Ard;ARA/07-Ard
200017341;200017341;0;Communauté de communes Lodévois et Larzac;COMMUNAUTE DE COMMUNES LODEVOIS ET LARZAC;CC Lodévois et Larzac;CC LODEVOIS ET LARZAC;CC;Communauté de communes;0;3;Rural;76;34;34-Hér;OCC/34-Hér
200017846;200017846;0;Communauté d'agglomération Étampois Sud Essonne;COMMUNAUTE D AGGLOMERATION ETAMPOIS SUD ESSONNE;CA Étampois Sud Essonne;CA ETAMPOIS SUD ESSONNE;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;11;91;91-Ess;IDF/91-Ess
200018083;200018083;0;Communauté de communes de Desvres-Samer;COMMUNAUTE DE COMMUNES DE DESVRES SAMER;CC de Desvres-Samer;CC DE DESVRES-SAMER;CC;Communauté de communes;0;3;Rural;32;62;62-PdC;HDF/62-PdC
200018166;200018166;0;Communauté de communes Le Grésivaudan;COMMUNAUTE DE COMMUNES LE GRESIVAUDAN;CC Le Grésivaudan;CC LE GRESIVAUDAN;CC;Communauté de communes;0;2;Urbain intermédiaire;84;38;38-Isè;ARA/38-Isè
200018406;200018406;0;Communauté de communes du Romorantinais et du Monestois;COMMUNAUTE DE COMMUNES DU ROMORANTINAIS ET DU MONESTOIS;CC du Romorantinais et du Monestois;CC DU ROMORANTINAIS ET DU MONESTOIS;CC;Communauté de communes;0;2;Urbain intermédiaire;24;41;41-LeC;CVL/41-LeC
200018521;200018521;0;Communauté de communes du Val de Bouzanne;COMMUNAUTE DE COMMUNES DU VAL DE BOUZANNE;CC du Val de Bouzanne;CC DU VAL DE BOUZANNE;CC;Communauté de communes;0;3;Rural;24;36;36-Ind;CVL/36-Ind
200018653;200018653;0;Communauté d'agglomération Cap Excellence;COMMUNAUTE D AGGLOMERATION CAP EXCELLENCE;CA Cap Excellence;CA CAP EXCELLENCE;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;1;971;971-Gua;GUA/971-Gua
200022986;200022986;0;Communauté de communes du Grand Pic Saint-Loup;COMMUNAUTE DE COMMUNES DU GRAND PIC SAINT LOUP;CC du Grand Pic Saint-Loup;CC DU GRAND PIC SAINT-LOUP;CC;Communauté de communes;0;3;Rural;76;34;34-Hér;OCC/34-Hér
200023075;200023075;0;Communauté de communes du Pays de Maîche;COMMUNAUTE DE COMMUNES DU PAYS DE MAICHE;CC du Pays de Maîche;CC DU PAYS DE MAICHE;CC;Communauté de communes;0;3;Rural;27;25;25-Dou;BFC/25-Dou
200023125;200023125;0;Communauté de communes Les Portes Briardes entre Villes et Forêts;COMMUNAUTE DE COMMUNES LES PORTES BRIARDES ENTRE VILLES ET FORETS;CC Les Portes Briardes entre Villes et Forêts;CC LES PORTES BRIARDES ENTRE VILLES ET FORETS;CC;Communauté de communes;0;2;Urbain intermédiaire;11;77;77-SeM;IDF/77-SeM
200023240;200023240;0;Communauté de communes Pays de Nemours;COMMUNAUTE DE COMMUNES PAYS DE NEMOURS;CC Pays de Nemours;CC PAYS DE NEMOURS;CC;Communauté de communes;0;2;Urbain intermédiaire;11;77;77-SeM;IDF/77-SeM
200023299;200023299;0;Communauté de communes Cœur de Tarentaise;COMMUNAUTE DE COMMUNES CŒUR DE TARENTAISE;CC Cœur de Tarentaise;CC CŒUR DE TARENTAISE;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
200023307;200023307;0;Communauté d'agglomération du Grand Villeneuvois;COMMUNAUTE D AGGLOMERATION DU GRAND VILLENEUVOIS;CA du Grand Villeneuvois;CA DU GRAND VILLENEUVOIS;CA;Communauté d'agglomération;0;3;Rural;75;47;47-LeG;NAQ/47-LeG
200023372;200023372;0;Communauté de communes de la Vallée de Chamonix-Mont-Blanc;COMMUNAUTE DE COMMUNES DE LA VALLEE DE CHAMONIX MONT BLANC;CC de la Vallée de Chamonix-Mont-Blanc;CC DE LA VALLEE DE CHAMONIX-MONT-BLANC;CC;Communauté de communes;0;2;Urbain intermédiaire;84;74;74-HSv;ARA/74-HSv
200023414;200023414;0;Métropole Rouen Normandie;METROPOLE ROUEN NORMANDIE;MET Rouen Normandie;MET ROUEN NORMANDIE;MET;Métropole;1;1;Urbain dense;28;76;76-SMa;NOR/76-SMa
200023620;200023620;0;Communauté de communes de la Gascogne Toulousaine;COMMUNAUTE DE COMMUNES DE LA GASCOGNE TOULOUSAINE;CC de la Gascogne Toulousaine;CC DE LA GASCOGNE TOULOUSAINE;CC;Communauté de communes;0;3;Rural;76;32;32-Ger;OCC/32-Ger
200023737;200023737;0;Communauté d'agglomération du Grand Cahors;COMMUNAUTE D AGGLOMERATION DU GRAND CAHORS;CA du Grand Cahors;CA DU GRAND CAHORS;CA;Communauté d'agglomération;0;3;Rural;76;46;46-Lot;OCC/46-Lot
200023778;200023778;0;Communauté d'agglomération du Pays de Saint-Gilles-Croix-de-Vie;COMMUNAUTE D AGGLOMERATION DU PAYS DE SAINT GILLES CROIX DE VIE;CA du Pays de Saint-Gilles-Croix-de-Vie;CA DU PAYS DE SAINT-GILLES-CROIX-DE-VIE;CA;Communauté d'agglomération;0;3;Rural;52;85;85-Ven;PDL/85-Ven
200023794;200023794;0;Communauté de communes de Blaye;COMMUNAUTE DE COMMUNES DE BLAYE;CC de Blaye;CC DE BLAYE;CC;Communauté de communes;0;3;Rural;75;33;33-Gir;NAQ/33-Gir
200023919;200023919;0;Communauté de communes Gâtinais Val de Loing;COMMUNAUTE DE COMMUNES GATINAIS VAL DE LOING;CC Gâtinais Val de Loing;CC GATINAIS VAL DE LOING;CC;Communauté de communes;0;3;Rural;11;77;77-SeM;IDF/77-SeM
200026573;200026573;0;Communauté de communes Haut-Jura Saint-Claude;COMMUNAUTE DE COMMUNES HAUT JURA SAINT CLAUDE;CC Haut-Jura Saint-Claude;CC HAUT-JURA SAINT-CLAUDE;CC;Communauté de communes;0;3;Rural;27;39;39-Jur;BFC/39-Jur
200027027;200027027;0;Communauté de communes Arc Sud Bretagne;COMMUNAUTE DE COMMUNES ARC SUD BRETAGNE;CC Arc Sud Bretagne;CC ARC SUD BRETAGNE;CC;Communauté de communes;0;3;Rural;53;56;56-Mor;BRE/56-Mor
200027076;200027076;0;Communauté de communes Arnon Boischaut Cher;COMMUNAUTE DE COMMUNES ARNON BOISCHAUT CHER;CC Arnon Boischaut Cher;CC ARNON BOISCHAUT CHER;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200027100;200027100;0;Communauté de communes Méditerranée Porte des Maures;COMMUNAUTE DE COMMUNES MEDITERRANEE PORTE DES MAURES;CC Méditerranée Porte des Maures;CC MEDITERRANEE PORTE DES MAURES;CC;Communauté de communes;0;2;Urbain intermédiaire;93;83;83-Var;PACA/83-Var
200027183;200027183;0;Communauté urbaine Perpignan Méditerranée Métropole;COMMUNAUTE URBAINE PERPIGNAN MEDITERRANEE METROPOLE;CU Perpignan Méditerranée Métropole;CU PERPIGNAN MEDITERRANEE METROPOLE;CU;Communauté urbaine;0;2;Urbain intermédiaire;76;66;66-PyO;OCC/66-PyO
200027217;200027217;0;Communauté de communes Sarlat-Périgord Noir;COMMUNAUTE DE COMMUNES SARLAT PERIGORD NOIR;CC Sarlat-Périgord Noir;CC SARLAT-PERIGORD NOIR;CC;Communauté de communes;0;3;Rural;75;24;24-Dor;NAQ/24-Dor
200027308;200027308;0;Communauté de communes d'Auberive Vingeanne et Montsaugeonnais;COMMUNAUTE DE COMMUNES D AUBERIVE VINGEANNE ET MONTSAUGEONNAIS;CC d'Auberive Vingeanne et Montsaugeonnais;CC D'AUBERIVE VINGEANNE ET MONTSAUGEONNAIS;CC;Communauté de communes;0;3;Rural;44;52;52-HMa;GES/52-HMa
200027548;200027548;0;Communauté de communes des Savanes;COMMUNAUTE DE COMMUNES DES SAVANES;CC des Savanes;CC DES SAVANES;CC;Communauté de communes;0;2;Urbain intermédiaire;3;973;973-Guy;GUY/973-Guy
200029734;200029734;0;Communauté de communes des 4B Sud Charente;COMMUNAUTE DE COMMUNES DES 4B SUD CHARENTE;CC des 4B Sud Charente;CC DES 4B SUD CHARENTE;CC;Communauté de communes;0;3;Rural;75;16;16-Cha;NAQ/16-Cha
200029999;200029999;0;Communauté de communes Rives de l'Ain - Pays du Cerdon;COMMUNAUTE DE COMMUNES RIVES DE L AIN PAYS DU CERDON;CC Rives de l'Ain - Pays du Cerdon;CC RIVES DE L'AIN - PAYS DU CERDON;CC;Communauté de communes;0;3;Rural;84;01;01-Ain;ARA/01-Ain
200030195;200030195;0;Métropole Nice Côte d'Azur;METROPOLE NICE COTE D AZUR;MET Nice Côte d'Azur;MET NICE COTE D'AZUR;MET;Métropole;1;1;Urbain dense;93;06;06-AMa;PACA/06-AMa
200030385;200030385;0;Communauté d'agglomération de Blois «Agglopolys»;COMMUNAUTE D AGGLOMERATION DE BLOIS «AGGLOPOLYS»;CA de Blois «Agglopolys»;CA DE BLOIS «AGGLOPOLYS»;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;24;41;41-LeC;CVL/41-LeC
200030435;200030435;0;Communauté de communes d'Aire-sur-l'Adour;COMMUNAUTE DE COMMUNES D AIRE SUR L ADOUR;CC d'Aire-sur-l'Adour;CC D'AIRE-SUR-L'ADOUR;CC;Communauté de communes;0;3;Rural;75;40;40-Lan;NAQ/40-Lan
200030526;200030526;0;Communauté de communes du Ried de Marckolsheim;COMMUNAUTE DE COMMUNES DU RIED DE MARCKOLSHEIM;CC du Ried de Marckolsheim;CC DU RIED DE MARCKOLSHEIM;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
200030633;200030633;0;Communauté d'agglomération du Caudrésis et du Catésis;COMMUNAUTE D AGGLOMERATION DU CAUDRESIS ET DU CATESIS;CA du Caudrésis et du Catésis;CA DU CAUDRESIS ET DU CATESIS;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;32;59;59-Nor;HDF/59-Nor
200030658;200030658;0;Communauté de communes du Trièves;COMMUNAUTE DE COMMUNES DU TRIEVES;CC du Trièves;CC DU TRIEVES;CC;Communauté de communes;0;3;Rural;84;38;38-Isè;ARA/38-Isè
200030674;200030674;0;Communauté d'agglomération Val de Garonne Agglomération;COMMUNAUTE D AGGLOMERATION VAL DE GARONNE AGGLOMERATION;CA Val de Garonne Agglomération;CA VAL DE GARONNE AGGLOMERATION;CA;Communauté d'agglomération;0;3;Rural;75;47;47-LeG;NAQ/47-LeG
200032514;200032514;0;Communauté de communes Berry-Loire-Vauvise;COMMUNAUTE DE COMMUNES BERRY LOIRE VAUVISE;CC Berry-Loire-Vauvise;CC BERRY-LOIRE-VAUVISE;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200033025;200033025;0;Communauté d'agglomération de Bar-le-Duc - Sud Meuse;COMMUNAUTE D AGGLOMERATION DE BAR LE DUC SUD MEUSE;CA de Bar-le-Duc - Sud Meuse;CA DE BAR-LE-DUC - SUD MEUSE;CA;Communauté d'agglomération;0;3;Rural;44;55;55-Meu;GES/55-Meu
200033090;200033090;0;Communauté de communes Plaines et Monts de France;COMMUNAUTE DE COMMUNES PLAINES ET MONTS DE FRANCE;CC Plaines et Monts de France;CC PLAINES ET MONTS DE FRANCE;CC;Communauté de communes;0;2;Urbain intermédiaire;11;77;77-SeM;IDF/77-SeM
200033116;200033116;0;Communauté de communes Cluses-Arve et Montagnes;COMMUNAUTE DE COMMUNES CLUSES ARVE ET MONTAGNES;CC Cluses-Arve et Montagnes;CC CLUSES-ARVE ET MONTAGNES;CC;Communauté de communes;0;2;Urbain intermédiaire;84;74;74-HSv;ARA/74-HSv
200033173;200033173;0;Communauté de communes de la Haute Vallée de Chevreuse;COMMUNAUTE DE COMMUNES DE LA HAUTE VALLEE DE CHEVREUSE;CC de la Haute Vallée de Chevreuse;CC DE LA HAUTE VALLEE DE CHEVREUSE;CC;Communauté de communes;0;2;Urbain intermédiaire;11;78;78-Yve;IDF/78-Yve
200033181;200033181;0;Communauté d'agglomération Chartres Métropole;COMMUNAUTE D AGGLOMERATION CHARTRES METROPOLE;CA Chartres Métropole;CA CHARTRES METROPOLE;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;24;28;28-EeL;CVL/28-EeL
200033298;200033298;0;Communauté de communes des Coëvrons;COMMUNAUTE DE COMMUNES DES COEVRONS;CC des Coëvrons;CC DES COEVRONS;CC;Communauté de communes;0;3;Rural;52;53;53-May;PDL/53-May
200033579;200033579;0;Communauté urbaine d'Arras;COMMUNAUTE URBAINE D ARRAS;CU d'Arras;CU D'ARRAS;CU;Communauté urbaine;0;1;Urbain dense;32;62;62-PdC;HDF/62-PdC
200033827;200033827;0;Communauté de communes de Fium'Orbu Castellu;COMMUNAUTE DE COMMUNES DE FIUM ORBU CASTELLU;CC de Fium'Orbu Castellu;CC DE FIUM'ORBU CASTELLU;CC;Communauté de communes;0;3;Rural;94;2B;2B-HCo;COR/2B-HCo
200033868;200033868;0;Communauté de communes des Ballons des Hautes-Vosges;COMMUNAUTE DE COMMUNES DES BALLONS DES HAUTES VOSGES;CC des Ballons des Hautes-Vosges;CC DES BALLONS DES HAUTES-VOSGES;CC;Communauté de communes;0;3;Rural;44;88;88-Vos;GES/88-Vos
200034023;200034023;0;Communauté de communes Tarn-Agout;COMMUNAUTE DE COMMUNES TARN AGOUT;CC Tarn-Agout;CC TARN-AGOUT;CC;Communauté de communes;0;2;Urbain intermédiaire;76;81;81-Tar;OCC/81-Tar
200034031;200034031;0;Communauté de communes des Monts d'Alban et du Villefranchois;COMMUNAUTE DE COMMUNES DES MONTS D ALBAN ET DU VILLEFRANCHOIS;CC des Monts d'Alban et du Villefranchois;CC DES MONTS D'ALBAN ET DU VILLEFRANCHOIS;CC;Communauté de communes;0;3;Rural;76;81;81-Tar;OCC/81-Tar
200034049;200034049;0;Communauté de communes Centre Tarn;COMMUNAUTE DE COMMUNES CENTRE TARN;CC Centre Tarn;CC CENTRE TARN;CC;Communauté de communes;0;3;Rural;76;81;81-Tar;OCC/81-Tar
200034056;200034056;0;Communauté de communes du Lautrécois et du Pays d'Agout;COMMUNAUTE DE COMMUNES DU LAUTRECOIS ET DU PAYS D AGOUT;CC du Lautrécois et du Pays d'Agout;CC DU LAUTRECOIS ET DU PAYS D'AGOUT;CC;Communauté de communes;0;3;Rural;76;81;81-Tar;OCC/81-Tar
200034064;200034064;0;Communauté de communes du Cordais et du Causse (4 C);COMMUNAUTE DE COMMUNES DU CORDAIS ET DU CAUSSE (4 C);CC du Cordais et du Causse (4 C);CC DU CORDAIS ET DU CAUSSE (4 C);CC;Communauté de communes;0;3;Rural;76;81;81-Tar;OCC/81-Tar
200034098;200034098;0;Communauté de communes des Montagnes du Giffre;COMMUNAUTE DE COMMUNES DES MONTAGNES DU GIFFRE;CC des Montagnes du Giffre;CC DES MONTAGNES DU GIFFRE;CC;Communauté de communes;0;3;Rural;84;74;74-HSv;ARA/74-HSv
200034130;200034130;0;Communauté de communes Gally Mauldre;COMMUNAUTE DE COMMUNES GALLY MAULDRE;CC Gally Mauldre;CC GALLY MAULDRE;CC;Communauté de communes;0;2;Urbain intermédiaire;11;78;78-Yve;IDF/78-Yve
200034197;200034197;0;Communauté de communes de Montaigne Montravel et Gurson;COMMUNAUTE DE COMMUNES DE MONTAIGNE MONTRAVEL ET GURSON;CC de Montaigne Montravel et Gurson;CC DE MONTAIGNE MONTRAVEL ET GURSON;CC;Communauté de communes;0;3;Rural;75;24;24-Dor;NAQ/24-Dor
200034205;200034205;0;Communauté de communes de la Costa Verde;COMMUNAUTE DE COMMUNES DE LA COSTA VERDE;CC de la Costa Verde;CC DE LA COSTA VERDE;CC;Communauté de communes;0;3;Rural;94;2B;2B-HCo;COR/2B-HCo
200034270;200034270;0;Communauté de communes du Pays de Barr;COMMUNAUTE DE COMMUNES DU PAYS DE BARR;CC du Pays de Barr;CC DU PAYS DE BARR;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
200034379;200034379;0;Communauté de communes Pays d'Uzès;COMMUNAUTE DE COMMUNES PAYS D UZES;CC Pays d'Uzès;CC PAYS D'UZES;CC;Communauté de communes;0;3;Rural;76;30;30-Gar;OCC/30-Gar
200034411;200034411;0;Communauté de communes du Piémont Cévenol;COMMUNAUTE DE COMMUNES DU PIEMONT CEVENOL;CC du Piémont Cévenol;CC DU PIEMONT CEVENOL;CC;Communauté de communes;0;3;Rural;76;30;30-Gar;OCC/30-Gar
200034601;200034601;0;Communauté de communes Causses Aigoual Cévennes;COMMUNAUTE DE COMMUNES CAUSSES AIGOUAL CEVENNES;CC Causses Aigoual Cévennes;CC CAUSSES AIGOUAL CEVENNES;CC;Communauté de communes;0;3;Rural;76;30;30-Gar;OCC/30-Gar
200034635;200034635;0;Communauté de communes du Kochersberg;COMMUNAUTE DE COMMUNES DU KOCHERSBERG;CC du Kochersberg;CC DU KOCHERSBERG;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
200034692;200034692;0;Communauté d'agglomération du Gard Rhodanien;COMMUNAUTE D AGGLOMERATION DU GARD RHODANIEN;CA du Gard Rhodanien;CA DU GARD RHODANIEN;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;76;30;30-Gar;OCC/30-Gar
200034700;200034700;0;Communauté d'agglomération Durance-Lubéron-Verdon Agglomération;COMMUNAUTE D AGGLOMERATION DURANCE LUBERON VERDON AGGLOMERATION;CA Durance-Lubéron-Verdon Agglomération;CA DURANCE-LUBERON-VERDON AGGLOMERATION;CA;Communauté d'agglomération;0;3;Rural;93;04;04-AHP;PACA/04-AHP
200034718;200034718;0;Communauté de communes de Vitry, Champagne et Der;COMMUNAUTE DE COMMUNES DE VITRY, CHAMPAGNE ET DER;CC de Vitry, Champagne et Der;CC DE VITRY, CHAMPAGNE ET DER;CC;Communauté de communes;0;2;Urbain intermédiaire;44;51;51-Mar;GES/51-Mar
200034726;200034726;0;Communauté de communes Bastides de Lomagne;COMMUNAUTE DE COMMUNES BASTIDES DE LOMAGNE;CC Bastides de Lomagne;CC BASTIDES DE LOMAGNE;CC;Communauté de communes;0;3;Rural;76;32;32-Ger;OCC/32-Ger
200034825;200034825;0;Communauté d'agglomération du Grand Guéret;COMMUNAUTE D AGGLOMERATION DU GRAND GUERET;CA du Grand Guéret;CA DU GRAND GUERET;CA;Communauté d'agglomération;0;3;Rural;75;23;23-Cre;NAQ/23-Cre
200034833;200034833;0;Communauté de communes des Bastides Dordogne-Périgord;COMMUNAUTE DE COMMUNES DES BASTIDES DORDOGNE PERIGORD;CC des Bastides Dordogne-Périgord;CC DES BASTIDES DORDOGNE-PERIGORD;CC;Communauté de communes;0;3;Rural;75;24;24-Dor;NAQ/24-Dor
200034874;200034874;0;Communauté de communes Côtes de Meuse Woëvre;COMMUNAUTE DE COMMUNES COTES DE MEUSE WOEVRE;CC Côtes de Meuse Woëvre;CC COTES DE MEUSE WOEVRE;CC;Communauté de communes;0;3;Rural;44;55;55-Meu;GES/55-Meu
200034882;200034882;0;Communauté de communes Pays du Mont-Blanc;COMMUNAUTE DE COMMUNES PAYS DU MONT BLANC;CC Pays du Mont-Blanc;CC PAYS DU MONT-BLANC;CC;Communauté de communes;0;2;Urbain intermédiaire;84;74;74-HSv;ARA/74-HSv
200034957;200034957;0;Communauté de communes du Frontonnais;COMMUNAUTE DE COMMUNES DU FRONTONNAIS;CC du Frontonnais;CC DU FRONTONNAIS;CC;Communauté de communes;0;3;Rural;76;31;31-HGa;OCC/31-HGa
200035087;200035087;0;Communauté d'agglomération Terre de Provence;COMMUNAUTE D AGGLOMERATION TERRE DE PROVENCE;CA Terre de Provence;CA TERRE DE PROVENCE;CA;Communauté d'agglomération;0;3;Rural;93;13;13-BdR;PACA/13-BdR
200035103;200035103;0;Communauté de communes de la Vallée de la Haute Sarthe;COMMUNAUTE DE COMMUNES DE LA VALLEE DE LA HAUTE SARTHE;CC de la Vallée de la Haute Sarthe;CC DE LA VALLEE DE LA HAUTE SARTHE;CC;Communauté de communes;0;3;Rural;28;61;61-Orn;NOR/61-Orn
200035111;200035111;0;Communauté de communes des Sources de l'Orne;COMMUNAUTE DE COMMUNES DES SOURCES DE L ORNE;CC des Sources de l'Orne;CC DES SOURCES DE L'ORNE;CC;Communauté de communes;0;3;Rural;28;61;61-Orn;NOR/61-Orn
200035129;200035129;0;Communauté de communes de Cèze Cévennes;COMMUNAUTE DE COMMUNES DE CEZE CEVENNES;CC de Cèze Cévennes;CC DE CEZE CEVENNES;CC;Communauté de communes;0;3;Rural;76;30;30-Gar;OCC/30-Gar
200035137;200035137;0;Communauté de communes Marche Occitane - Val d'Anglin;COMMUNAUTE DE COMMUNES MARCHE OCCITANE VAL D ANGLIN;CC Marche Occitane - Val d'Anglin;CC MARCHE OCCITANE - VAL D'ANGLIN;CC;Communauté de communes;0;3;Rural;24;36;36-Ind;CVL/36-Ind
