"AAV2020";"AAV2020lib";"AAV2020libNCC";"TAAV2017";"TAAV2017lib";"TAAV2017libNCC";"TDAAV2017";"TDAAV2017lib";"TDAAV2017libNCC";"NB_COM";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"013";"Rennes";"RENNES";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";41;"Aire de 700 000 à moins de 1 000 000 d'habitants";"AIRE DE 700 000 A MOINS DE 1 000 000 D HABITANTS";183;2;"53";"35";"35-IeV";"BRE/35-IeV"
"014";"Grenoble";"GRENOBLE";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";41;"Aire de 700 000 à moins de 1 000 000 d'habitants";"AIRE DE 700 000 A MOINS DE 1 000 000 D HABITANTS";204;2;"84";"38";"38-Isè";"ARA/38-Isè"
"015";"Rouen";"ROUEN";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";34;"Aire de 500 000 à moins de 700 000 habitants";"AIRE DE 500 000 A MOINS DE 700 000 HABITANTS";316;2;"28";"76";"76-SMa";"NOR/76-SMa"
"017";"Nice";"NICE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";34;"Aire de 500 000 à moins de 700 000 habitants";"AIRE DE 500 000 A MOINS DE 700 000 HABITANTS";100;1;"93";"06";"06-AMa";"PACA/06-AMa"
"018";"Toulon";"TOULON";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";34;"Aire de 500 000 à moins de 700 000 habitants";"AIRE DE 500 000 A MOINS DE 700 000 HABITANTS";35;1;"93";"83";"83-Var";"PACA/83-Var"
"019";"Tours";"TOURS";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";34;"Aire de 500 000 à moins de 700 000 habitants";"AIRE DE 500 000 A MOINS DE 700 000 HABITANTS";162;2;"24";"37";"37-IeL";"CVL/37-IeL"
"020";"Nancy";"NANCY";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";34;"Aire de 500 000 à moins de 700 000 habitants";"AIRE DE 500 000 A MOINS DE 700 000 HABITANTS";353;2;"44";"54";"54-MeM";"GES/54-MeM"
"022";"Clermont-Ferrand";"CLERMONT FERRAND";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";208;2;"84";"63";"63-PdD";"ARA/63-PdD"
"023";"Saint-Étienne";"SAINT ETIENNE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";105;2;"84";"42";"42-Loi";"ARA/42-Loi"
"024";"Caen";"CAEN";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";294;2;"28";"14";"14-Cal";"NOR/14-Cal"
"025";"Orléans";"ORLEANS";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";136;2;"24";"45";"45-Lot";"CVL/45-Lot"
"026";"Angers";"ANGERS";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";81;2;"52";"49";"49-MeL";"PDL/49-MeL"
"028";"Dijon";"DIJON";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";333;2;"27";"21";"21-CdO";"BFC/21-CdO"
"029";"Mulhouse";"MULHOUSE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";132;2;"44";"68";"68-HRh";"GES/68-HRh"
"030";"Perpignan";"PERPIGNAN";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";33;"Aire de 400 000 à moins de 500 000 habitants";"AIRE DE 400 000 A MOINS DE 500 000 HABITANTS";118;2;"76";"66";"66-PyO";"OCC/66-PyO"
"031";"Cannes - Antibes";"CANNES ANTIBES";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";24;1;"93";"06";"06-AMa";"PACA/06-AMa"
"032";"Brest";"BREST";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";68;2;"53";"29";"29-Fin";"BRE/29-Fin"
"033";"Metz";"METZ";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";245;2;"44";"57";"57-Mos";"GES/57-Mos"
