"ZE2020";"ZE2020lib";"NB_COM";"ZE2020libNCC";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"9315";"Nice";116;"NICE";1;"93";"06";"06-AMa";"PACA/06-AMa"
"9316";"Orange";16;"ORANGE";3;"93";"84";"84-Vau";"PACA/84-Vau"
"9317";"Sainte-Maxime";12;"SAINTE MAXIME";2;"93";"83";"83-Var";"PACA/83-Var"
"9318";"Toulon";33;"TOULON";1;"93";"83";"83-Var";"PACA/83-Var"
"9401";"Ajaccio";81;"AJACCIO";1;"94";"2A";"2A-CdS";"COR/2A-CdS"
"9402";"Bastia";112;"BASTIA";2;"94";"2B";"2B-HCo";"COR/2B-HCo"
"9403";"Calvi";36;"CALVI";3;"94";"2B";"2B-HCo";"COR/2B-HCo"
"9404";"Corte";58;"CORTE";3;"94";"2B";"2B-HCo";"COR/2B-HCo"
"9405";"Ghisonaccia";30;"GHISONACCIA";3;"94";"2B";"2B-HCo";"COR/2B-HCo"
"9406";"Porto-Vecchio";12;"PORTO VECCHIO";3;"94";"2A";"2A-CdS";"COR/2A-CdS"
"9407";"Propriano";31;"PROPRIANO";3;"94";"2A";"2A-CdS";"COR/2A-CdS"
