"ZE2020";"ZE2020lib";"NB_COM";"ZE2020libNCC";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"7509";"Cognac";191;"COGNAC";3;"75";"17";"17-ChM";"NAQ/17-ChM"
"7510";"Dax";119;"DAX";3;"75";"40";"40-Lan";"NAQ/40-Lan"
"7511";"Guéret";255;"GUERET";3;"75";"23";"23-Cre";"NAQ/23-Cre"
"7512";"La Rochelle";83;"LA ROCHELLE";2;"75";"17";"17-ChM";"NAQ/17-ChM"
"7513";"La Teste-de-Buch";33;"LA TESTE DE BUCH";2;"75";"40";"40-Lan";"NAQ/40-Lan"
"7514";"Langon";175;"LANGON";3;"75";"33";"33-Gir";"NAQ/33-Gir"
"7515";"Lesparre-Médoc";40;"LESPARRE MEDOC";3;"75";"33";"33-Gir";"NAQ/33-Gir"
"7516";"Libourne";140;"LIBOURNE";3;"75";"33";"33-Gir";"NAQ/33-Gir"
"7517";"Limoges";130;"LIMOGES";2;"75";"87";"87-HVi";"NAQ/87-HVi"
"7518";"Marmande";131;"MARMANDE";3;"75";"47";"47-LeG";"NAQ/47-LeG"
"7519";"Mont-de-Marsan";166;"MONT DE MARSAN";3;"75";"40";"40-Lan";"NAQ/40-Lan"
"7520";"Niort";158;"NIORT";3;"75";"79";"79-DSè";"NAQ/79-DSè"
"7521";"Oloron-Sainte-Marie";163;"OLORON SAINTE MARIE";3;"75";"64";"64-PyA";"NAQ/64-PyA"
"7522";"Pau";286;"PAU";2;"75";"64";"64-PyA";"NAQ/64-PyA"
"7523";"Périgueux";231;"PERIGUEUX";3;"75";"24";"24-Dor";"NAQ/24-Dor"
"7524";"Poitiers";163;"POITIERS";3;"75";"86";"86-Vie";"NAQ/86-Vie"
"7525";"Rochefort";41;"ROCHEFORT";3;"75";"17";"17-ChM";"NAQ/17-ChM"
"7526";"Royan";51;"ROYAN";3;"75";"17";"17-ChM";"NAQ/17-ChM"
"7527";"Saint-Junien";104;"SAINT JUNIEN";3;"75";"87";"87-HVi";"NAQ/87-HVi"
"7528";"Saintes";147;"SAINTES";3;"75";"17";"17-ChM";"NAQ/17-ChM"
"7529";"Sarlat-la-Canéda";107;"SARLAT LA CANEDA";3;"75";"24";"24-Dor";"NAQ/24-Dor"
"7530";"Thouars";76;"THOUARS";3;"75";"86";"86-Vie";"NAQ/86-Vie"
"7531";"Tulle";130;"TULLE";3;"75";"19";"19-Cor";"NAQ/19-Cor"
"7532";"Villeneuve-sur-Lot";98;"VILLENEUVE SUR LOT";3;"75";"47";"47-LeG";"NAQ/47-LeG"
"7601";"Agde-Pézenas";18;"AGDE PEZENAS";2;"76";"34";"34-Hér";"OCC/34-Hér"
"7602";"Albi";190;"ALBI";2;"76";"81";"81-Tar";"OCC/81-Tar"
"7603";"Alès-Le Vigan";172;"ALES LE VIGAN";3;"76";"30";"30-Gar";"OCC/30-Gar"
"7604";"Auch";392;"AUCH";3;"76";"32";"32-Ger";"OCC/32-Ger"
"7605";"Bagnols-sur-Cèze";52;"BAGNOLS SUR CEZE";3;"76";"30";"30-Gar";"OCC/30-Gar"
"7606";"Béziers";110;"BEZIERS";3;"76";"34";"34-Hér";"OCC/34-Hér"
"7607";"Cahors";134;"CAHORS";3;"76";"46";"46-Lot";"OCC/46-Lot"
"7608";"Carcassonne-Limoux";309;"CARCASSONNE LIMOUX";3;"76";"11";"11-Aud";"OCC/11-Aud"
"7609";"Castelsarrasin-Moissac";104;"CASTELSARRASIN MOISSAC";3;"76";"82";"82-TeG";"OCC/82-TeG"
"7610";"Castres-Mazamet";134;"CASTRES MAZAMET";3;"76";"81";"81-Tar";"OCC/81-Tar"
"7611";"Figeac-Villefranche";136;"FIGEAC VILLEFRANCHE";3;"76";"46";"46-Lot";"OCC/46-Lot"
"7612";"Foix-Pamiers";268;"FOIX PAMIERS";3;"76";"09";"09-Ari";"OCC/09-Ari"
"7613";"Mende";135;"MENDE";3;"76";"48";"48-Loz";"OCC/48-Loz"
